,Beta,Gamma,Delta,OBS_i,OBS_itotal,OBS_d,OBS_r
2020-08-02,0.07961459330273993,0.0035999637414495097,0.13012227233040202,0.006681941087613294,0.014886356495468277,0.0004852084592145015,0.007719206948640483
2020-08-09,0.07253531158997122,0.0034157360367658785,0.12416067519064845,0.006794677600345274,0.01563932542080276,0.000500453172205438,0.00834419464825205
2020-08-16,0.06189652564769178,0.003130629788069849,0.1162995275351865,0.007084954682779456,0.01681834743202417,0.0005241791109192922,0.00920921363832542
2020-08-23,0.053223049071517314,0.0028564967244035034,0.11215004719318769,0.007271868364264134,0.01784456970220112,0.000546490720759603,0.010026210617177385
2020-08-30,0.04714146252442926,0.0025890674426095376,0.11188284986954526,0.007360441087613293,0.01878046180405697,0.0005675813552006905,0.010852439361242987
2020-09-06,0.043151188492718415,0.0023566944345897053,0.11394477793746724,0.007434878722485974,0.019694317220543805,0.0005871204143288735,0.011672318083728959
2020-09-13,0.04140279112076828,0.002209557227367439,0.11742225564401523,0.0073833716012084594,0.020501523090202846,0.0006036948640483384,0.01251445662494605
2020-09-20,0.04110311747558188,0.002122975027142193,0.1218933120189479,0.007367844626672421,0.021368018558480795,0.0006204104445403539,0.013379763487268019
2020-09-27,0.041806919824869296,0.002076201827756545,0.125234931403663,0.007339534743202417,0.02225647820457488,0.0006359736728528269,0.014280969788519638
2020-10-04,0.04411372503424802,0.002064228621082573,0.12694784714971777,0.007304979283556322,0.023176914113077256,0.0006513008200258956,0.015220634009495037
2020-10-11,0.04843399098287092,0.0020996753708842036,0.12874276627135225,0.0074093353474320245,0.024188015968925336,0.0006664885627967198,0.01611219205869659
2020-10-18,0.05514539309080537,0.0021915512344978204,0.12842934631525596,0.0075913914544669826,0.025372902891670265,0.0006817729823047044,0.017099738454898573
2020-10-25,0.06522336459054341,0.002315359141651278,0.1251602915627706,0.007952302114803625,0.02674877729823047,0.000699107898144152,0.018097367285282693
2020-11-01,0.07875222281715219,0.0024675209793441886,0.12171827956611807,0.008589274061286145,0.028434164436771686,0.0007176435045317221,0.01912724687095382
2020-11-08,0.0926041478354159,0.0026125679122902326,0.1213786743152291,0.009622765645230902,0.030582691411307726,0.0007399335347432025,0.02021999223133362
2020-11-15,0.10093997484375615,0.0027248745557097265,0.12626101670274978,0.011338523953388,0.03353797626240829,0.0007671160984031075,0.02143233621061718
2020-11-22,0.10202789935293828,0.002817715474274785,0.13469795809053428,0.013403574018126889,0.03714231808372896,0.0008007647820457488,0.02293797928355632
2020-11-29,0.10062960983839749,0.0029338878099975296,0.14199094578860058,0.015110944756150194,0.04085798791540785,0.0008397760034527406,0.024907267155804918
2020-12-06,0.0988973918922437,0.0030248540303991238,0.14593929286557014,0.01668811480362538,0.04472392447129909,0.0008850323694432456,0.027150777298230473
2020-12-13,0.09407883569279926,0.0029838376709910496,0.14571282452499876,0.018664873543375055,0.049288288303841174,0.0009401924902891671,0.029683222270176952
2020-12-20,0.08696766082449534,0.002842371678134952,0.1411045320994712,0.020398417781614157,0.05401728571428571,0.0009995856711264566,0.0326192822615451
2020-12-27,0.0820857362983288,0.0027450843417305927,0.13657643655277021,0.021881284419507985,0.058455507984462675,0.0010584415192058697,0.03551578204574881
2021-01-03,0.07977721284843943,0.0027569619207038825,0.13326663142996767,0.023099070781182562,0.06270499611566681,0.0011167656452309022,0.03848915968925335
2021-01-10,0.07376503618294827,0.0027661989135589443,0.12959156162582114,0.02477860725075529,0.06780308847647822,0.0011823094518774277,0.04184217177384549
2021-01-17,0.06221179250081026,0.002690065936208437,0.12892887883145918,0.02661730038843332,0.07295983556322831,0.001257088044885628,0.04508544712990936
2021-01-24,0.049212755980664616,0.0025619507702798355,0.132825388319861,0.027282064307293914,0.0770769352611135,0.0013271972378075098,0.04846767371601208
